No.	User	Edit count
627	CeraBot	1,977
628	Bikabot	1,967
629	LDBot	1,950
630	NrhpBot	1,922
631	Bocianski.bot	1,889
632	FaleBot	1,872
633	Zxabot	1,835
634	CrazynasBot	1,808
635	IPTaggerBot	1,808
636	HarrivBOT	1,777
637	Ver-bot	1,777
638	Rfambot	1,774
639	SvickBOT	1,738
640	Kwjbot	1,738
641	Ocobot	1,730
642	KolBot	1,728
643	PascalBot	1,710
644	SpillingBot	1,690
645	CricketBot	1,676
646	SoxBot X	1,675
647	RobotJcb	1,631
648	EnzaiBot	1,595
649	ListGenBot	1,575
650	WikiBotas	1,556
651	Wybot	1,541
652	Peti610botH	1,526
653	Plasticbot	1,522
654	FPBot	1,486
655	Robert SkyBot	1,483
656	Italic title bot	1,483
657	Android Mouse Bot 4	1,448
658	GrooveBot	1,410
659	NekoBot	1,379
660	RoboServien	1,349
661	SMS Bot	1,344
662	SoxBot VII	1,340
663	AzaBot	1,321
664	BotdeSki	1,312
665	Slobot	1,297
666	Eivindbot	1,279
667	Snaevar-bot	1,277
668	AilurophobiaBot	1,269
669	DeadLinkBOT	1,256
670	BendelacBOT	1,244
671	Kisbesbot	1,221
672	Citation bot 4	1,200
673	O bot	1,198
674	Manishbot	1,172
675	AudeBot	1,143
676	SheepBot	1,126
677	Nixbot	1,102
678	WoodwardBot	1,092
679	MastersBot	1,081
680	GracenotesBot	1,080
681	AntiAbuseBot	1,075
682	WxBot	1,062
683	Janna Isabot	1,045
684	Analphabot	1,028
685	SantoshBot	1,020
686	7SeriesBOT	1,019
687	Legobot III	966
688	DinoBot	952
689	Botpankonin	950
690	Ficbot	950
691	SwiftBot	934
692	Rameshngbot	926
693	AndreasJSbot	908
694	SDPatrolBot II	900
695	EBot	896
696	Alirezabot	885
697	Razibot	881
698	Anibot	880
699	NobelBot	878
700	Nono le petit robot	867
701	Mulder416sBot	867
702	TARBOT	855
703	MCBot	849
704	TTObot	840
705	WODUPbot	840
706	NeuRobot	838
707	WaldirBot	836
708	Antischmitzbot	834
709	Taxobot	828
710	VP-bot	820
711	MedcabBot	813
712	ChzzBot	804
713	Joe's Olympic Bot	797
714	Fajrbot	795
715	ElMeBot	785
716	Stwalkerbot	783
717	SprinterBot	780
718	AutocracyBot	759
719	MartinBotII	758
720	Stefan2bot	739
721	GnawnBot	724
722	DpmukBOT	723
723	AnomieBOT III	719
724	MandelBot	711
725	Caypartisbot	680
726	ChessBOT	674
727	GZ-Bot	655
728	PsychAWB	653
729	TypoBot	646
730	Newsletterbot	639
731	Danumber1bot	637
732	Robotic Garden	618
733	Dark Shikari Bot	615
734	BotCompuGeek	586
735	DEagleBot	579
736	NeraBot	552
737	AlptaBot	546
738	Halibott	543
739	SpaceFactsBot	541
740	VsBot	536
741	Diligent Terrier Bot	527
